Building prefix dict from the default dictionary ...
Loading model from cache C:\Users\宗廷\AppData\Local\Temp\jieba.cache
Loading model cost 1.091 seconds.
Prefix dict has been built succesfully.
spend 5s to load word2vec model from model/bin/ngram_300_3_83w.bin
algorithm  2
0.57 {'v_measure': '0.96', 'homogeneity': '0.98', 'completeness': '0.95', 'rand': '0.90', 'mutual_info': '0.87'}
0.58 {'v_measure': '0.98', 'homogeneity': '1.00', 'completeness': '0.96', 'rand': '0.93', 'mutual_info': '0.89'}
0.59 {'v_measure': '0.97', 'homogeneity': '0.99', 'completeness': '0.96', 'rand': '0.92', 'mutual_info': '0.89'}
0.60 {'v_measure': '0.97', 'homogeneity': '0.99', 'completeness': '0.96', 'rand': '0.92', 'mutual_info': '0.89'}
0.61 {'v_measure': '0.97', 'homogeneity': '0.99', 'completeness': '0.96', 'rand': '0.92', 'mutual_info': '0.89'}
{'v_measure': ('0.99', '0.55'), 'completeness': ('1.00', '0.55'), 'homogeneity': ('1.00', '0.58'), 'rand': ('0.96', '0.55'), 'mutual_info': ('0.94', '0.55')}
0.52 {'v_measure': '0.90', 'homogeneity': '0.83', 'completeness': '0.97', 'rand': '0.66', 'mutual_info': '0.68'}
0.53 {'v_measure': '0.92', 'homogeneity': '0.87', 'completeness': '0.96', 'rand': '0.71', 'mutual_info': '0.73'}
0.54 {'v_measure': '0.94', 'homogeneity': '0.93', 'completeness': '0.95', 'rand': '0.85', 'mutual_info': '0.84'}
0.55 {'v_measure': '0.94', 'homogeneity': '0.93', 'completeness': '0.94', 'rand': '0.82', 'mutual_info': '0.83'}
0.56 {'v_measure': '0.93', 'homogeneity': '0.93', 'completeness': '0.94', 'rand': '0.81', 'mutual_info': '0.83'}
0.57 {'v_measure': '0.94', 'homogeneity': '0.94', 'completeness': '0.94', 'rand': '0.83', 'mutual_info': '0.84'}
0.58 {'v_measure': '0.94', 'homogeneity': '0.95', 'completeness': '0.94', 'rand': '0.83', 'mutual_info': '0.84'}
0.59 {'v_measure': '0.94', 'homogeneity': '0.95', 'completeness': '0.94', 'rand': '0.83', 'mutual_info': '0.84'}
0.60 {'v_measure': '0.96', 'homogeneity': '0.97', 'completeness': '0.94', 'rand': '0.85', 'mutual_info': '0.84'}
0.61 {'v_measure': '0.95', 'homogeneity': '0.97', 'completeness': '0.93', 'rand': '0.83', 'mutual_info': '0.81'}
{'v_measure': ('0.96', '0.60'), 'completeness': ('0.97', '0.52'), 'homogeneity': ('0.97', '0.61'), 'rand': ('0.85', '0.60'), 'mutual_info': ('0.84', '0.60')}
0.52 {'v_measure': '0.90', 'homogeneity': '0.87', 'completeness': '0.94', 'rand': '0.70', 'mutual_info': '0.75'}
0.53 {'v_measure': '0.90', 'homogeneity': '0.87', 'completeness': '0.94', 'rand': '0.70', 'mutual_info': '0.75'}
0.54 {'v_measure': '0.90', 'homogeneity': '0.87', 'completeness': '0.94', 'rand': '0.70', 'mutual_info': '0.75'}
0.55 {'v_measure': '0.92', 'homogeneity': '0.91', 'completeness': '0.93', 'rand': '0.72', 'mutual_info': '0.81'}
0.56 {'v_measure': '0.91', 'homogeneity': '0.91', 'completeness': '0.92', 'rand': '0.71', 'mutual_info': '0.80'}
0.57 {'v_measure': '0.91', 'homogeneity': '0.91', 'completeness': '0.92', 'rand': '0.71', 'mutual_info': '0.81'}
0.58 {'v_measure': '0.90', 'homogeneity': '0.91', 'completeness': '0.89', 'rand': '0.67', 'mutual_info': '0.75'}
0.59 {'v_measure': '0.90', 'homogeneity': '0.91', 'completeness': '0.89', 'rand': '0.67', 'mutual_info': '0.75'}
0.60 {'v_measure': '0.91', 'homogeneity': '0.94', 'completeness': '0.88', 'rand': '0.72', 'mutual_info': '0.73'}
0.61 {'v_measure': '0.91', 'homogeneity': '0.94', 'completeness': '0.89', 'rand': '0.70', 'mutual_info': '0.74'}
{'v_measure': ('0.92', '0.55'), 'completeness': ('0.94', '0.54'), 'homogeneity': ('0.94', '0.61'), 'rand': ('0.72', '0.60'), 'mutual_info': ('0.81', '0.57')}
0.52 {'v_measure': '0.90', 'homogeneity': '0.87', 'completeness': '0.95', 'rand': '0.68', 'mutual_info': '0.75'}
0.53 {'v_measure': '0.91', 'homogeneity': '0.88', 'completeness': '0.94', 'rand': '0.71', 'mutual_info': '0.76'}
0.54 {'v_measure': '0.93', 'homogeneity': '0.90', 'completeness': '0.95', 'rand': '0.77', 'mutual_info': '0.80'}
0.55 {'v_measure': '0.94', 'homogeneity': '0.92', 'completeness': '0.95', 'rand': '0.82', 'mutual_info': '0.84'}
0.56 {'v_measure': '0.93', 'homogeneity': '0.92', 'completeness': '0.94', 'rand': '0.80', 'mutual_info': '0.83'}
0.57 {'v_measure': '0.93', 'homogeneity': '0.92', 'completeness': '0.94', 'rand': '0.80', 'mutual_info': '0.84'}
0.58 {'v_measure': '0.93', 'homogeneity': '0.94', 'completeness': '0.92', 'rand': '0.81', 'mutual_info': '0.81'}
0.59 {'v_measure': '0.93', 'homogeneity': '0.95', 'completeness': '0.91', 'rand': '0.81', 'mutual_info': '0.80'}
0.60 {'v_measure': '0.95', 'homogeneity': '0.97', 'completeness': '0.93', 'rand': '0.86', 'mutual_info': '0.84'}
0.61 {'v_measure': '0.95', 'homogeneity': '0.97', 'completeness': '0.93', 'rand': '0.86', 'mutual_info': '0.84'}
{'v_measure': ('0.95', '0.61'), 'completeness': ('0.95', '0.55'), 'homogeneity': ('0.97', '0.61'), 'rand': ('0.86', '0.61'), 'mutual_info': ('0.84', '0.61')}
0.52 {'v_measure': '0.94', 'homogeneity': '0.88', 'completeness': '1.00', 'rand': '0.73', 'mutual_info': '0.77'}
0.53 {'v_measure': '0.94', 'homogeneity': '0.90', 'completeness': '1.00', 'rand': '0.74', 'mutual_info': '0.79'}
0.54 {'v_measure': '0.96', 'homogeneity': '0.93', 'completeness': '1.00', 'rand': '0.83', 'mutual_info': '0.84'}
0.55 {'v_measure': '0.96', 'homogeneity': '0.95', 'completeness': '0.97', 'rand': '0.86', 'mutual_info': '0.88'}
0.56 {'v_measure': '0.97', 'homogeneity': '0.96', 'completeness': '0.97', 'rand': '0.88', 'mutual_info': '0.91'}
0.57 {'v_measure': '0.96', 'homogeneity': '0.97', 'completeness': '0.95', 'rand': '0.87', 'mutual_info': '0.88'}
0.58 {'v_measure': '0.97', 'homogeneity': '0.98', 'completeness': '0.95', 'rand': '0.90', 'mutual_info': '0.88'}
0.59 {'v_measure': '0.97', 'homogeneity': '0.98', 'completeness': '0.95', 'rand': '0.90', 'mutual_info': '0.88'}
0.60 {'v_measure': '0.97', 'homogeneity': '0.98', 'completeness': '0.95', 'rand': '0.90', 'mutual_info': '0.88'}
0.61 {'v_measure': '0.97', 'homogeneity': '0.98', 'completeness': '0.95', 'rand': '0.90', 'mutual_info': '0.88'}
{'v_measure': ('0.97', '0.61'), 'completeness': ('1.00', '0.54'), 'homogeneity': ('0.98', '0.61'), 'rand': ('0.90', '0.61'), 'mutual_info': ('0.91', '0.56')}
0.52 {'v_measure': '0.87', 'homogeneity': '0.80', 'completeness': '0.95', 'rand': '0.51', 'mutual_info': '0.62'}
0.53 {'v_measure': '0.90', 'homogeneity': '0.85', 'completeness': '0.96', 'rand': '0.63', 'mutual_info': '0.71'}
0.54 {'v_measure': '0.91', 'homogeneity': '0.87', 'completeness': '0.95', 'rand': '0.66', 'mutual_info': '0.73'}
0.55 {'v_measure': '0.94', 'homogeneity': '0.89', 'completeness': '0.99', 'rand': '0.73', 'mutual_info': '0.78'}
0.56 {'v_measure': '0.95', 'homogeneity': '0.92', 'completeness': '0.97', 'rand': '0.78', 'mutual_info': '0.82'}
0.57 {'v_measure': '0.94', 'homogeneity': '0.93', 'completeness': '0.95', 'rand': '0.77', 'mutual_info': '0.83'}
0.58 {'v_measure': '0.94', 'homogeneity': '0.93', 'completeness': '0.95', 'rand': '0.77', 'mutual_info': '0.83'}
0.59 {'v_measure': '0.94', 'homogeneity': '0.93', 'completeness': '0.94', 'rand': '0.77', 'mutual_info': '0.84'}
0.60 {'v_measure': '0.96', 'homogeneity': '0.96', 'completeness': '0.95', 'rand': '0.86', 'mutual_info': '0.89'}
0.61 {'v_measure': '0.96', 'homogeneity': '0.96', 'completeness': '0.95', 'rand': '0.86', 'mutual_info': '0.89'}
{'v_measure': ('0.96', '0.61'), 'completeness': ('0.99', '0.55'), 'homogeneity': ('0.96', '0.61'), 'rand': ('0.86', '0.61'), 'mutual_info': ('0.89', '0.61')}
0.52 {'v_measure': '0.89', 'homogeneity': '0.85', 'completeness': '0.94', 'rand': '0.69', 'mutual_info': '0.69'}
0.53 {'v_measure': '0.93', 'homogeneity': '0.91', 'completeness': '0.96', 'rand': '0.81', 'mutual_info': '0.79'}
0.54 {'v_measure': '0.92', 'homogeneity': '0.90', 'completeness': '0.94', 'rand': '0.75', 'mutual_info': '0.76'}
0.55 {'v_measure': '0.95', 'homogeneity': '0.94', 'completeness': '0.96', 'rand': '0.87', 'mutual_info': '0.86'}
0.56 {'v_measure': '0.98', 'homogeneity': '0.98', 'completeness': '0.99', 'rand': '0.95', 'mutual_info': '0.94'}
0.57 {'v_measure': '0.97', 'homogeneity': '0.98', 'completeness': '0.96', 'rand': '0.92', 'mutual_info': '0.91'}
0.58 {'v_measure': '0.97', 'homogeneity': '0.98', 'completeness': '0.96', 'rand': '0.92', 'mutual_info': '0.91'}
0.59 {'v_measure': '0.96', 'homogeneity': '0.98', 'completeness': '0.94', 'rand': '0.88', 'mutual_info': '0.84'}
0.60 {'v_measure': '0.96', 'homogeneity': '0.98', 'completeness': '0.93', 'rand': '0.87', 'mutual_info': '0.82'}
0.61 {'v_measure': '0.96', 'homogeneity': '0.99', 'completeness': '0.92', 'rand': '0.86', 'mutual_info': '0.79'}
{'v_measure': ('0.98', '0.56'), 'completeness': ('0.99', '0.56'), 'homogeneity': ('0.99', '0.61'), 'rand': ('0.95', '0.56'), 'mutual_info': ('0.94', '0.56')}
0.52 {'v_measure': '0.90', 'homogeneity': '0.86', 'completeness': '0.94', 'rand': '0.70', 'mutual_info': '0.74'}
0.53 {'v_measure': '0.91', 'homogeneity': '0.87', 'completeness': '0.94', 'rand': '0.66', 'mutual_info': '0.75'}
0.54 {'v_measure': '0.92', 'homogeneity': '0.89', 'completeness': '0.94', 'rand': '0.68', 'mutual_info': '0.78'}
0.55 {'v_measure': '0.95', 'homogeneity': '0.94', 'completeness': '0.95', 'rand': '0.82', 'mutual_info': '0.87'}
0.56 {'v_measure': '0.95', 'homogeneity': '0.94', 'completeness': '0.95', 'rand': '0.82', 'mutual_info': '0.87'}
0.57 {'v_measure': '0.95', 'homogeneity': '0.95', 'completeness': '0.95', 'rand': '0.83', 'mutual_info': '0.89'}
0.58 {'v_measure': '0.94', 'homogeneity': '0.95', 'completeness': '0.94', 'rand': '0.82', 'mutual_info': '0.87'}
0.59 {'v_measure': '0.96', 'homogeneity': '0.98', 'completeness': '0.93', 'rand': '0.90', 'mutual_info': '0.84'}
0.60 {'v_measure': '0.95', 'homogeneity': '0.98', 'completeness': '0.92', 'rand': '0.89', 'mutual_info': '0.81'}
0.61 {'v_measure': '0.96', 'homogeneity': '0.99', 'completeness': '0.93', 'rand': '0.90', 'mutual_info': '0.83'}
{'v_measure': ('0.96', '0.61'), 'completeness': ('0.95', '0.57'), 'homogeneity': ('0.99', '0.61'), 'rand': ('0.90', '0.61'), 'mutual_info': ('0.89', '0.57')}
0.52 {'v_measure': '0.94', 'homogeneity': '0.91', 'completeness': '0.96', 'rand': '0.84', 'mutual_info': '0.82'}
0.53 {'v_measure': '0.95', 'homogeneity': '0.93', 'completeness': '0.97', 'rand': '0.87', 'mutual_info': '0.85'}
0.54 {'v_measure': '0.96', 'homogeneity': '0.95', 'completeness': '0.97', 'rand': '0.89', 'mutual_info': '0.88'}
0.55 {'v_measure': '0.96', 'homogeneity': '0.96', 'completeness': '0.97', 'rand': '0.90', 'mutual_info': '0.90'}
0.56 {'v_measure': '0.96', 'homogeneity': '0.96', 'completeness': '0.97', 'rand': '0.90', 'mutual_info': '0.90'}
0.57 {'v_measure': '0.96', 'homogeneity': '0.96', 'completeness': '0.97', 'rand': '0.89', 'mutual_info': '0.90'}
0.58 {'v_measure': '0.95', 'homogeneity': '0.96', 'completeness': '0.95', 'rand': '0.87', 'mutual_info': '0.87'}
0.59 {'v_measure': '0.95', 'homogeneity': '0.96', 'completeness': '0.95', 'rand': '0.87', 'mutual_info': '0.87'}
0.60 {'v_measure': '0.97', 'homogeneity': '0.99', 'completeness': '0.95', 'rand': '0.93', 'mutual_info': '0.87'}
0.61 {'v_measure': '0.98', 'homogeneity': '1.00', 'completeness': '0.96', 'rand': '0.95', 'mutual_info': '0.90'}
{'v_measure': ('0.98', '0.61'), 'completeness': ('0.97', '0.57'), 'homogeneity': ('1.00', '0.61'), 'rand': ('0.95', '0.61'), 'mutual_info': ('0.90', '0.61')}
0.52 {'v_measure': '0.94', 'homogeneity': '0.92', 'completeness': '0.97', 'rand': '0.82', 'mutual_info': '0.84'}
0.53 {'v_measure': '0.95', 'homogeneity': '0.94', 'completeness': '0.97', 'rand': '0.87', 'mutual_info': '0.88'}
0.54 {'v_measure': '0.95', 'homogeneity': '0.94', 'completeness': '0.97', 'rand': '0.87', 'mutual_info': '0.88'}
0.55 {'v_measure': '0.95', 'homogeneity': '0.94', 'completeness': '0.97', 'rand': '0.87', 'mutual_info': '0.88'}
0.56 {'v_measure': '0.97', 'homogeneity': '0.97', 'completeness': '0.97', 'rand': '0.92', 'mutual_info': '0.93'}
0.57 {'v_measure': '0.97', 'homogeneity': '0.97', 'completeness': '0.96', 'rand': '0.92', 'mutual_info': '0.92'}
0.58 {'v_measure': '0.97', 'homogeneity': '0.97', 'completeness': '0.96', 'rand': '0.92', 'mutual_info': '0.92'}
0.59 {'v_measure': '0.97', 'homogeneity': '0.98', 'completeness': '0.95', 'rand': '0.92', 'mutual_info': '0.90'}
0.60 {'v_measure': '0.97', 'homogeneity': '0.98', 'completeness': '0.95', 'rand': '0.92', 'mutual_info': '0.90'}
0.61 {'v_measure': '0.97', 'homogeneity': '0.98', 'completeness': '0.95', 'rand': '0.92', 'mutual_info': '0.90'}
{'v_measure': ('0.97', '0.61'), 'completeness': ('0.97', '0.56'), 'homogeneity': ('0.98', '0.61'), 'rand': ('0.92', '0.61'), 'mutual_info': ('0.93', '0.56')}
0.52 {'v_measure': '0.94', 'homogeneity': '0.90', 'completeness': '0.99', 'rand': '0.77', 'mutual_info': '0.79'}
0.53 {'v_measure': '0.95', 'homogeneity': '0.91', 'completeness': '0.99', 'rand': '0.78', 'mutual_info': '0.82'}
0.54 {'v_measure': '0.95', 'homogeneity': '0.91', 'completeness': '0.99', 'rand': '0.78', 'mutual_info': '0.82'}
0.55 {'v_measure': '0.95', 'homogeneity': '0.91', 'completeness': '0.99', 'rand': '0.78', 'mutual_info': '0.82'}
0.56 {'v_measure': '0.95', 'homogeneity': '0.93', 'completeness': '0.97', 'rand': '0.83', 'mutual_info': '0.85'}
0.57 {'v_measure': '0.95', 'homogeneity': '0.94', 'completeness': '0.96', 'rand': '0.84', 'mutual_info': '0.86'}
0.58 {'v_measure': '0.95', 'homogeneity': '0.94', 'completeness': '0.96', 'rand': '0.84', 'mutual_info': '0.86'}
0.59 {'v_measure': '0.95', 'homogeneity': '0.94', 'completeness': '0.95', 'rand': '0.83', 'mutual_info': '0.86'}
0.60 {'v_measure': '0.95', 'homogeneity': '0.95', 'completeness': '0.95', 'rand': '0.86', 'mutual_info': '0.89'}
0.61 {'v_measure': '0.94', 'homogeneity': '0.95', 'completeness': '0.92', 'rand': '0.78', 'mutual_info': '0.81'}
{'v_measure': ('0.95', '0.60'), 'completeness': ('0.99', '0.55'), 'homogeneity': ('0.95', '0.61'), 'rand': ('0.86', '0.60'), 'mutual_info': ('0.89', '0.60')}
0.52 {'v_measure': '0.89', 'homogeneity': '0.84', 'completeness': '0.96', 'rand': '0.65', 'mutual_info': '0.69'}
0.53 {'v_measure': '0.92', 'homogeneity': '0.88', 'completeness': '0.96', 'rand': '0.73', 'mutual_info': '0.74'}
0.54 {'v_measure': '0.94', 'homogeneity': '0.91', 'completeness': '0.96', 'rand': '0.78', 'mutual_info': '0.81'}
0.55 {'v_measure': '0.94', 'homogeneity': '0.91', 'completeness': '0.96', 'rand': '0.78', 'mutual_info': '0.81'}
0.56 {'v_measure': '0.93', 'homogeneity': '0.91', 'completeness': '0.95', 'rand': '0.78', 'mutual_info': '0.80'}
0.57 {'v_measure': '0.93', 'homogeneity': '0.92', 'completeness': '0.94', 'rand': '0.79', 'mutual_info': '0.82'}
0.58 {'v_measure': '0.93', 'homogeneity': '0.94', 'completeness': '0.93', 'rand': '0.80', 'mutual_info': '0.83'}
0.59 {'v_measure': '0.96', 'homogeneity': '0.97', 'completeness': '0.95', 'rand': '0.89', 'mutual_info': '0.86'}
0.60 {'v_measure': '0.96', 'homogeneity': '0.97', 'completeness': '0.95', 'rand': '0.89', 'mutual_info': '0.86'}
0.61 {'v_measure': '0.96', 'homogeneity': '0.97', 'completeness': '0.95', 'rand': '0.89', 'mutual_info': '0.86'}
{'v_measure': ('0.96', '0.61'), 'completeness': ('0.96', '0.55'), 'homogeneity': ('0.97', '0.61'), 'rand': ('0.89', '0.61'), 'mutual_info': ('0.86', '0.61')}
0.52 {'v_measure': '0.92', 'homogeneity': '0.88', 'completeness': '0.96', 'rand': '0.72', 'mutual_info': '0.78'}
0.53 {'v_measure': '0.92', 'homogeneity': '0.90', 'completeness': '0.95', 'rand': '0.75', 'mutual_info': '0.80'}
0.54 {'v_measure': '0.92', 'homogeneity': '0.90', 'completeness': '0.94', 'rand': '0.72', 'mutual_info': '0.79'}
0.55 {'v_measure': '0.94', 'homogeneity': '0.94', 'completeness': '0.94', 'rand': '0.80', 'mutual_info': '0.86'}
0.56 {'v_measure': '0.93', 'homogeneity': '0.94', 'completeness': '0.93', 'rand': '0.79', 'mutual_info': '0.85'}
0.57 {'v_measure': '0.94', 'homogeneity': '0.95', 'completeness': '0.93', 'rand': '0.81', 'mutual_info': '0.85'}
0.58 {'v_measure': '0.94', 'homogeneity': '0.96', 'completeness': '0.92', 'rand': '0.82', 'mutual_info': '0.83'}
0.59 {'v_measure': '0.94', 'homogeneity': '0.96', 'completeness': '0.92', 'rand': '0.82', 'mutual_info': '0.83'}
0.60 {'v_measure': '0.94', 'homogeneity': '0.96', 'completeness': '0.92', 'rand': '0.82', 'mutual_info': '0.83'}
0.61 {'v_measure': '0.94', 'homogeneity': '0.96', 'completeness': '0.91', 'rand': '0.80', 'mutual_info': '0.81'}
{'v_measure': ('0.94', '0.61'), 'completeness': ('0.96', '0.52'), 'homogeneity': ('0.96', '0.61'), 'rand': ('0.82', '0.60'), 'mutual_info': ('0.86', '0.55')}
0.52 {'v_measure': '0.88', 'homogeneity': '0.85', 'completeness': '0.90', 'rand': '0.63', 'mutual_info': '0.70'}
0.53 {'v_measure': '0.89', 'homogeneity': '0.86', 'completeness': '0.92', 'rand': '0.64', 'mutual_info': '0.72'}
0.54 {'v_measure': '0.91', 'homogeneity': '0.90', 'completeness': '0.92', 'rand': '0.75', 'mutual_info': '0.78'}
0.55 {'v_measure': '0.91', 'homogeneity': '0.90', 'completeness': '0.92', 'rand': '0.75', 'mutual_info': '0.78'}
0.56 {'v_measure': '0.91', 'homogeneity': '0.91', 'completeness': '0.91', 'rand': '0.74', 'mutual_info': '0.80'}
0.57 {'v_measure': '0.92', 'homogeneity': '0.93', 'completeness': '0.90', 'rand': '0.77', 'mutual_info': '0.78'}
0.58 {'v_measure': '0.92', 'homogeneity': '0.94', 'completeness': '0.90', 'rand': '0.78', 'mutual_info': '0.79'}
0.59 {'v_measure': '0.92', 'homogeneity': '0.94', 'completeness': '0.90', 'rand': '0.78', 'mutual_info': '0.77'}
0.60 {'v_measure': '0.94', 'homogeneity': '0.96', 'completeness': '0.91', 'rand': '0.83', 'mutual_info': '0.80'}
0.61 {'v_measure': '0.93', 'homogeneity': '0.96', 'completeness': '0.90', 'rand': '0.81', 'mutual_info': '0.77'}
{'v_measure': ('0.94', '0.60'), 'completeness': ('0.92', '0.55'), 'homogeneity': ('0.96', '0.61'), 'rand': ('0.83', '0.60'), 'mutual_info': ('0.80', '0.60')}
{'v_measure': '(0.95, 0.60)', 'completeness': '(0.95, 0.54)', 'homogeneity': '(0.98, 0.61)', 'rand': '(0.86, 0.60)', 'mutual_info': '(0.84, 0.56)'}
[Finished in 329.2s]
